date,store_id,channel,campaign_name,spend,impressions,clicks,leads
2025-11-01,1,Google Ads,Search - Used Cars,278.69,6518,125,8
2025-11-01,1,Meta Ads,Leads - Offers,165.21,6971,98,3
2025-11-01,1,TikTok,Leads - Shortform,109.19,9613,100,1
2025-11-01,1,Email,Seasonal Promo,35.95,1232,41,2
2025-11-01,2,Google Ads,Search - Brand,213.79,4954,145,8
2025-11-01,2,Meta Ads,Retargeting,146.22,10305,104,4
2025-11-01,2,TikTok,Awareness - Video,97.32,10692,69,1
2025-11-01,2,Email,Newsletter,40.35,1338,51,1
2025-11-01,3,Google Ads,Search - Brand,261.24,6145,205,11
2025-11-01,3,Meta Ads,Leads - SUVs,206.0,8640,170,5
2025-11-01,3,TikTok,Leads - Shortform,98.9,10754,144,3
2025-11-01,3,Email,Seasonal Promo,36.44,1550,59,3
2025-11-01,4,Google Ads,Search - Used Cars,132.01,3888,98,5
2025-11-01,4,Meta Ads,Leads - Offers,102.15,7860,123,6
2025-11-01,4,TikTok,Leads - Shortform,75.09,7838,88,1
2025-11-01,4,Email,Service Reminder,30.36,1128,33,0
2025-11-02,1,Google Ads,Search - Used Cars,182.94,6857,225,14
2025-11-02,1,Meta Ads,Leads - SUVs,212.81,8362,108,4
2025-11-02,1,TikTok,Leads - Shortform,142.23,9150,67,1
2025-11-02,1,Email,Newsletter,34.03,1721,35,1
2025-11-02,2,Google Ads,Search - Used Cars,259.24,7196,229,13
2025-11-02,2,Meta Ads,Retargeting,184.1,8577,158,8
2025-11-02,2,TikTok,Leads - Shortform,100.29,9896,97,2
2025-11-02,2,Email,Newsletter,32.21,1133,22,0
2025-11-02,3,Google Ads,Search - Brand,295.77,7884,156,7
2025-11-02,3,Meta Ads,Leads - SUVs,154.86,8568,104,4
2025-11-02,3,TikTok,Awareness - Video,97.55,11991,165,4
2025-11-02,3,Email,Service Reminder,37.24,1209,30,0
2025-11-02,4,Google Ads,Search - Service,159.27,5824,248,15
2025-11-02,4,Meta Ads,Leads - SUVs,164.92,8683,142,5
2025-11-02,4,TikTok,Leads - Shortform,103.01,7814,60,1
2025-11-02,4,Email,Seasonal Promo,30.44,925,36,2
2025-11-03,1,Google Ads,Search - Service,233.84,5087,159,9
2025-11-03,1,Meta Ads,Leads - Offers,180.84,8319,85,3
2025-11-03,1,TikTok,Leads - Shortform,98.85,12814,178,6
2025-11-03,1,Email,Service Reminder,31.2,1016,29,0
2025-11-03,2,Google Ads,Search - Brand,183.49,6184,244,10
2025-11-03,2,Meta Ads,Retargeting,116.79,7208,119,4
2025-11-03,2,TikTok,Awareness - Video,89.63,10025,67,2
2025-11-03,2,Email,Seasonal Promo,34.17,1113,48,2
2025-11-03,3,Google Ads,Search - Used Cars,244.35,5099,205,14
2025-11-03,3,Meta Ads,Retargeting,200.84,7005,102,3
2025-11-03,3,TikTok,Awareness - Video,107.35,13350,126,4
2025-11-03,3,Email,Newsletter,31.48,1139,34,1
2025-11-03,4,Google Ads,Search - Brand,180.85,4183,127,7
2025-11-03,4,Meta Ads,Retargeting,112.1,7820,109,4
2025-11-03,4,TikTok,Awareness - Video,89.03,8748,95,3
2025-11-03,4,Email,Newsletter,24.4,937,34,1
2025-11-04,1,Google Ads,Search - Brand,245.35,4618,118,4
2025-11-04,1,Meta Ads,Leads - Offers,180.96,10702,160,7
2025-11-04,1,TikTok,Leads - Shortform,100.5,10500,103,3
2025-11-04,1,Email,Seasonal Promo,40.5,1562,66,3
2025-11-04,2,Google Ads,Search - Used Cars,152.43,5544,126,5
2025-11-04,2,Meta Ads,Leads - Offers,175.24,6208,121,4
2025-11-04,2,TikTok,Leads - Shortform,80.82,11951,109,3
2025-11-04,2,Email,Seasonal Promo,42.63,978,27,1
2025-11-04,3,Google Ads,Search - Service,200.45,5926,202,12
2025-11-04,3,Meta Ads,Leads - SUVs,168.13,6611,139,8
2025-11-04,3,TikTok,Leads - Shortform,95.17,13358,99,3
2025-11-04,3,Email,Service Reminder,49.08,1486,64,2
2025-11-04,4,Google Ads,Search - Used Cars,120.95,3415,147,6
2025-11-04,4,Meta Ads,Retargeting,94.02,5430,88,2
2025-11-04,4,TikTok,Awareness - Video,69.97,7851,105,2
2025-11-04,4,Email,Newsletter,22.83,1070,46,2
2025-11-05,1,Google Ads,Search - Service,188.03,7357,209,11
2025-11-05,1,Meta Ads,Leads - Offers,202.11,6269,57,2
2025-11-05,1,TikTok,Awareness - Video,126.81,7956,99,2
2025-11-05,1,Email,Service Reminder,41.44,1589,70,2
2025-11-05,2,Google Ads,Search - Service,211.99,4555,213,18
2025-11-05,2,Meta Ads,Retargeting,165.77,6763,79,2
2025-11-05,2,TikTok,Leads - Shortform,99.81,10610,67,1
2025-11-05,2,Email,Service Reminder,35.99,1054,46,2
2025-11-05,3,Google Ads,Search - Used Cars,186.73,5379,166,7
