date,store_id,test_drives,sales,revenue
2025-11-01,1,3,0,0.0
2025-11-01,2,3,0,0.0
2025-11-01,3,5,1,26042.56
2025-11-01,4,2,0,0.0
2025-11-02,1,3,0,0.0
2025-11-02,2,3,0,0.0
2025-11-02,3,3,0,0.0
2025-11-02,4,4,1,23373.87
2025-11-03,1,3,1,25231.26
2025-11-03,2,3,0,0.0
2025-11-03,3,5,1,27610.0
2025-11-03,4,2,0,0.0
2025-11-04,1,4,1,24513.6
2025-11-04,2,2,0,0.0
2025-11-04,3,6,1,26032.98
2025-11-04,4,2,0,0.0
2025-11-05,1,3,0,0.0
2025-11-05,2,4,1,25376.62
2025-11-05,3,3,1,24430.11
2025-11-05,4,3,0,0.0
2025-11-06,1,4,1,23414.46
2025-11-06,2,3,0,0.0
2025-11-06,3,7,2,47702.66
2025-11-06,4,2,0,0.0
2025-11-07,1,2,0,0.0
2025-11-07,2,2,0,0.0
2025-11-07,3,3,1,26193.72
2025-11-07,4,3,0,0.0
2025-11-08,1,4,1,22850.25
2025-11-08,2,3,0,0.0
2025-11-08,3,3,1,27899.24
2025-11-08,4,3,0,0.0
2025-11-09,1,6,2,46782.49
2025-11-09,2,3,1,22585.97
2025-11-09,3,9,3,75774.91
2025-11-09,4,2,0,0.0
2025-11-10,1,3,0,0.0
2025-11-10,2,3,0,0.0
2025-11-10,3,3,0,0.0
2025-11-10,4,2,0,0.0
2025-11-11,1,4,1,23098.53
2025-11-11,2,3,0,0.0
2025-11-11,3,4,1,27282.0
2025-11-11,4,1,0,0.0
2025-11-12,1,5,1,23699.25
2025-11-12,2,3,0,0.0
2025-11-12,3,5,1,25426.88
2025-11-12,4,1,0,0.0
2025-11-13,1,3,1,23409.91
2025-11-13,2,2,0,0.0
2025-11-13,3,4,1,25253.99
2025-11-13,4,2,0,0.0
2025-11-14,1,2,0,0.0
2025-11-14,2,4,1,25369.66
2025-11-14,3,4,1,26018.45
2025-11-14,4,3,0,0.0
2025-11-15,1,3,1,23287.72
2025-11-15,2,2,0,0.0
2025-11-15,3,2,0,0.0
2025-11-15,4,4,1,23496.5
2025-11-16,1,4,1,25359.14
2025-11-16,2,4,1,24440.38
2025-11-16,3,8,2,48634.54
2025-11-16,4,3,0,0.0
2025-11-17,1,3,1,22938.69
2025-11-17,2,2,0,0.0
2025-11-17,3,3,0,0.0
2025-11-17,4,2,0,0.0
2025-11-18,1,3,0,0.0
2025-11-18,2,2,0,0.0
2025-11-18,3,4,1,23808.12
2025-11-18,4,3,0,0.0
2025-11-19,1,1,0,0.0
2025-11-19,2,2,0,0.0
2025-11-19,3,3,1,24666.8
2025-11-19,4,2,0,0.0
2025-11-20,1,2,0,0.0
2025-11-20,2,2,0,0.0
2025-11-20,3,5,1,27624.04
2025-11-20,4,2,0,0.0
2025-11-21,1,4,1,23517.48
2025-11-21,2,3,0,0.0
2025-11-21,3,5,1,25066.02
2025-11-21,4,2,0,0.0
2025-11-22,1,6,1,22560.46
2025-11-22,2,2,0,0.0
2025-11-22,3,5,1,24300.45
2025-11-22,4,1,0,0.0
2025-11-23,1,3,0,0.0
2025-11-23,2,3,1,21696.76
2025-11-23,3,3,1,23879.79
2025-11-23,4,2,0,0.0
2025-11-24,1,4,1,24349.94
2025-11-24,2,3,0,0.0
2025-11-24,3,4,1,26615.24
2025-11-24,4,1,0,0.0
2025-11-25,1,4,1,22805.35
2025-11-25,2,2,0,0.0
2025-11-25,3,2,0,0.0
2025-11-25,4,1,0,0.0
2025-11-26,1,3,1,26779.02
2025-11-26,2,1,0,0.0
2025-11-26,3,6,2,54575.58
2025-11-26,4,2,0,0.0
2025-11-27,1,4,1,25682.51
2025-11-27,2,3,0,0.0
2025-11-27,3,3,1,26652.9
2025-11-27,4,1,0,0.0
